feature,importance,Variable_origine
num__experience_totale,0.1539240450395649,experience_totale
num__ratio_fonds,0.13716309919299127,ratio_fonds
low_card__eca_obtained_Yes,0.13282535104339563,eca_obtained_Yes
low_card__provincial_nomination_Yes,0.11621392408800252,provincial_nomination_Yes
num__clb_english_min,0.06147511257912057,clb_english_min
num__nclc_french_min,0.0331771687335975,nclc_french_min
num__years_foreign_experience,0.03310865579607189,years_foreign_experience
num__years_canadian_experience,0.028705328542446167,years_canadian_experience
num__clb_speaking_english,0.024876882934854606,clb_speaking_english
low_card__education_level_Master degree,0.02457166127753994,education_level_Master degree
low_card__education_level_Two-year post-secondary,0.0227032298275601,education_level_Two-year post-secondary
num__application_year,0.019977462252214393,application_year
low_card__program_PNP,0.01777764542225098,program_PNP
low_card__medical_exam_ok_Yes,0.01490900158190317,medical_exam_ok_Yes
num__clb_listening_english,0.011670746277886222,clb_listening_english
low_card__job_offer_teer_TEER 0,0.010191358014742455,job_offer_teer_TEER 0
low_card__education_level_PhD,0.009704688039521151,education_level_PhD
low_card__teer_category_TEER 4,0.00962324110635729,teer_category_TEER 4
high_card__country_of_origin,0.00889583019901859,country_of_origin
num__clb_english_mean,0.00863306529725501,clb_english_mean
low_card__program_CEC,0.008184018008576625,program_CEC
low_card__sector_Healthcare,0.007813503381338809,sector_Healthcare
num__age,0.007509188485377545,age
low_card__education_level_One-year post-secondary,0.006721745532392145,education_level_One-year post-secondary
num__funds_available_cad,0.0067027385813814375,funds_available_cad
low_card__criminal_record_Serious,0.00651257810038334,criminal_record_Serious
num__nclc_french_mean,0.006436702890040347,nclc_french_mean
low_card__program_FSWP,0.005760982591536814,program_FSWP
low_card__inadmissibility_Yes,0.005066212957702344,inadmissibility_Yes
low_card__job_offer_canada_Yes,0.004959135370816006,job_offer_canada_Yes
low_card__teer_category_TEER 2,0.004853337053420274,teer_category_TEER 2
low_card__program_FSTP,0.004399153008211498,program_FSTP
low_card__teer_category_TEER 3,0.004132537150971604,teer_category_TEER 3
low_card__english_test_IELTS,0.0038607461099930363,english_test_IELTS
low_card__job_offer_teer_None,0.0036715206862003064,job_offer_teer_None
low_card__teer_category_TEER 5,0.003324523966906137,teer_category_TEER 5
num__nclc_speaking_french,0.002848211068577015,nclc_speaking_french
low_card__sector_Trades,0.0023901104862087234,sector_Trades
num__clb_writing_english,0.0023433341882602714,clb_writing_english
num__clb_reading_english,0.0022447010135713775,clb_reading_english
low_card__family_in_canada_Yes,0.0020854993614911888,family_in_canada_Yes
low_card__education_level_Secondary diploma,0.0018680970650518402,education_level_Secondary diploma
low_card__sector_STEM,0.0018145253675157051,sector_STEM
num__nclc_listening_french,0.0017164426498178268,nclc_listening_french
num__nclc_writing_french,0.0014254907880113827,nclc_writing_french
num__nclc_reading_french,0.0012626298388646114,nclc_reading_french
low_card__education_level_Bachelor degree,0.0012383214644487623,education_level_Bachelor degree
low_card__sector_Other,0.0011756235976262935,sector_Other
low_card__teer_category_TEER 1,0.0011736243644615801,teer_category_TEER 1
low_card__sector_Business,0.000796643319392011,sector_Business
low_card__criminal_record_None,0.000779276143665864,criminal_record_None
low_card__teer_category_TEER 0,0.0007294293030597796,teer_category_TEER 0
low_card__job_offer_teer_TEER 5,0.0006119407996013169,job_offer_teer_TEER 5
low_card__sex_Male,0.0004861812535990378,sex_Male
low_card__sector_Education,0.00044511234745830015,sector_Education
num__dependants,0.00043238202201510527,dependants
low_card__studied_in_canada_Yes,0.00039383435897668776,studied_in_canada_Yes
low_card__marital_status_Single,0.00030770945243732874,marital_status_Single
low_card__marital_status_Married,0.00028494630948905895,marital_status_Married
low_card__job_offer_teer_TEER 4,0.0002760971837643057,job_offer_teer_TEER 4
low_card__job_offer_teer_TEER 1,0.0002626906510112042,job_offer_teer_TEER 1
low_card__english_test_CELPIP,0.00020259641496212806,english_test_CELPIP
low_card__sector_Transport,0.00011172803017825627,sector_Transport
low_card__english_test_PTE,6.451103951897588e-05,english_test_PTE
low_card__is_francophone_country_1,6.0758049744741106e-05,is_francophone_country_1
low_card__criminal_record_Minor,5.555834143431454e-05,criminal_record_Minor
low_card__job_offer_teer_TEER 3,4.625646728220656e-05,job_offer_teer_TEER 3
low_card__french_test_TCF Canada,2.9616136960125735e-05,french_test_TCF Canada
low_card__french_test_None,0.0,french_test_None
low_card__french_test_TEF Canada,0.0,french_test_TEF Canada
low_card__education_level_Less than secondary,0.0,education_level_Less than secondary
low_card__marital_status_Widowed,0.0,marital_status_Widowed
low_card__marital_status_Divorced,0.0,marital_status_Divorced
low_card__sector_Agriculture,0.0,sector_Agriculture
low_card__job_offer_teer_TEER 2,0.0,job_offer_teer_TEER 2
