Variable_origine,Importance
experience_totale,0.15790700202589752
ratio_fonds,0.13807373629441125
eca_obtained,0.12377323590327544
provincial_nomination,0.10214871102944095
clb_english_min,0.06456189419378025
education_level,0.0638412004762224
program,0.041102845428341715
years_foreign_experience,0.0326721611286773
nclc_french_min,0.027364607546628266
years_canadian_experience,0.02475011076719177
teer_category,0.024236092687762372
clb_speaking_english,0.02238462811329917
application_year,0.020804026705270897
job_offer_teer,0.019323370589277675
sector,0.015511598300021582
medical_exam_ok,0.01549404899629281
clb_english_mean,0.01413949877238987
clb_listening_english,0.013833753089574952
country_of_origin,0.012841818836440165
funds_available_cad,0.011021913574298192
age,0.010502974774784927
criminal_record,0.0068606905506386415
inadmissibility,0.004554162608369516
nclc_speaking_french,0.004207226265294207
nclc_french_mean,0.004043985441463107
clb_reading_english,0.003724444218326948
nclc_reading_french,0.0024482111847057672
clb_writing_english,0.0023386306147484158
english_test,0.0023040330901300775
marital_status,0.0021456819887175974
nclc_writing_french,0.002085660173009171
job_offer_canada,0.0018257945784124709
nclc_listening_french,0.0016436723527705143
dependants,0.0015467530865433342
family_in_canada,0.0013997552481710496
sex,0.001022975626665794
studied_in_canada,0.0007960252457991711
french_test,0.0005064961943829332
is_francophone_country,0.0002565722985717934
